exercise_name,suggested_fed_id,suggested_image_path,score,review_status
Abdominals Stretch Variation Four,,,26,auto
Abdominals Stretch Variation One,,,28,auto
Abdominals Stretch Variation Three,,,25,auto
Abdominals Stretch Variation Two,,,27,auto
Abductor Leg Raise Side Lying,,,42,auto
Abductor Leg Raise Side Lying Isometric,,,30,auto
Adductor Leg Raise Side Lying,,,42,auto
Adductor Leg Raise Side Lying Isometric,,,30,auto
Adductor Raise Side Lying Long Lever,,,31,auto
Adductor Raise Side Lying Short Lever,,,30,auto
Adductor Stretch Dynamic Standing Alternate,,,30,auto
Adductor Stretch Dynamic Unilateral 4 Point Position,,,24,auto
Adductor Stretch Seated Bilateral Dynamic,,,28,auto
Adductor Stretch Seated Bilateral Static,,,32,auto
Alphabet,,,6,auto
Alternating Bent Leg Raise,Alternating_Deltoid_Raise,Alternating_Deltoid_Raise/0.jpg,60,auto
Alternating Heel Touch,Alternate_Heel_Touchers,Alternate_Heel_Touchers/0.jpg,64,auto
Alternating Pole Rotation,,,51,auto
Alternating Swipe Around,,,36,auto
Ankle Circle,Ankle_Circles,Ankle_Circles/0.jpg,95,confirmed
Assisted Bulgarian Split Squat,,,44,auto
Backward Arm Circle,,,44,auto
Band Bayesian Curl,,,41,auto
Band Bayesian Hammer Curl,,,48,auto
Band Bayesian Reverse Curl,,,55,auto
Band Bench Fly,,,32,auto
Band Bench Press,Bench_Press_-_With_Bands,Bench_Press_-_With_Bands/0.jpg,92,confirmed
Band Bent Over Row,,,56,auto
Band Calf Raise,Seated_Calf_Raise,Seated_Calf_Raise/0.jpg,70,auto
Band Chest Fly,,,26,auto
Band Chest Press,Cable_Chest_Press,Cable_Chest_Press/0.jpg,67,auto
Band Crunch,Crunch_-_Hands_Overhead,Crunch_-_Hands_Overhead/0.jpg,70,auto
Band Curl,,,40,auto
Band Face Pull,Face_Pull,Face_Pull/0.jpg,80,auto
Band Floor Press,Floor_Press,Floor_Press/0.jpg,82,auto
Band Floor Quad Stretch,Quad_Stretch,Quad_Stretch/0.jpg,65,auto
Band Front Raise,,,52,auto
Band Glute Kickback,Glute_Kickback,Glute_Kickback/0.jpg,88,auto
Band Glute Kickback Hold,,,58,auto
Band Goblet Squat,Goblet_Squat,Goblet_Squat/0.jpg,89,auto
Band Good Morning,Band_Good_Morning,Band_Good_Morning/0.jpg,100,confirmed
Band Half Kneeling Single Arm Pulldown,,,44,auto
Band High Curl,,,34,auto
Band High Face Pull,Face_Pull,Face_Pull/0.jpg,63,auto
Band High Hammer Curl,,,52,auto
Band High Reverse Curl,Reverse_Cable_Curl,Reverse_Cable_Curl/0.jpg,61,auto
Band High To Low Pallof Press Wood Chopper,,,32,auto
Band Hip Abduction,Band_Hip_Adductions,Band_Hip_Adductions/0.jpg,71,auto
Band Hip Adduction,Band_Hip_Adductions,Band_Hip_Adductions/0.jpg,100,confirmed
Band Hip Thrust,,,59,auto
Band Horizontal Shrug,,,37,auto
Band Internally Rotated Chest Fly,,,39,auto
Band Knee Extension,,,52,auto
Band Kneeling Pulldown,,,47,auto
Band Kneeling Single Arm Pulldown,,,48,auto
Band Lateral Raise,Lateral_Raise_-_With_Bands,Lateral_Raise_-_With_Bands/0.jpg,96,confirmed
Band Leg Curl,Seated_Leg_Curl,Seated_Leg_Curl/0.jpg,63,auto
Band Leg Extension,Leg_Extensions,Leg_Extensions/0.jpg,72,auto
Band Leg Press,Leg_Press,Leg_Press/0.jpg,80,auto
Band Low Lateral Raise,Lateral_Raise_-_With_Bands,Lateral_Raise_-_With_Bands/0.jpg,84,auto
Band Low To High Pallof Press Wood Chopper,,,32,auto
Band Mid Lateral Raise,Lateral_Raise_-_With_Bands,Lateral_Raise_-_With_Bands/0.jpg,84,auto
Band Overhead Press,,,44,auto
Band Overhead Tricep Extension,Sled_Overhead_Triceps_Extension,Sled_Overhead_Triceps_Extension/0.jpg,85,auto
Band Pallof Press,Pallof_Press,Pallof_Press/0.jpg,89,auto
Band Pallof Press To Wood Chopper,,,40,auto
Band Press Around,,,31,auto
Band Pull Apart,Band_Pull_Apart,Band_Pull_Apart/0.jpg,100,confirmed
Band Pull Around,,,54,auto
Band Pullover,,,50,auto
Band Pullthrough,Pull_Through,Pull_Through/0.jpg,74,auto
Band Pushdown,,,55,auto
Band Pushup,,,52,auto
Band Rapunzel Pushdown,,,44,auto
